date, pm25, pm10, o3, no2, so2, co
2024/6/23, 108, 18, 46, 5, 1, 1
2024/6/24, 32, 30, 105, 9, , 2
2024/6/25, 57, 57, 106, 7, 2, 6
2024/6/26, 97, 53, 96, 7, 1, 2
2024/6/27, 72, 54, 112, 11, , 3
2024/6/28, 88, 57, 100, 8, 1, 6
2024/6/29, 100, 36, 90, 6, , 4
2024/6/30, 89, 21, 53, 5, 1, 3
2024/1/1, 157, 81, 18, 29, , 9
2024/1/2, 163, 28, 18, 16, , 2
2024/1/3, 61, 60, 26, 24, , 7
2024/1/4, 128, 38, 20, 15, , 2
2024/1/5, 68, 15, 23, 5, , 1
2024/1/6, 26, 23, 16, 11, , 1
2024/1/7, 51, 58, 7, 27, , 5
2024/1/8, 122, 42, 23, 17, , 3
2024/1/9, 91, 42, 15, 19, , 5
2024/1/10, 92, 80, 5, 35, , 10
2024/1/11, 163, 93, 5, 35, 1, 14
2024/1/12, 176, 60, 16, 22, , 9
2024/1/13, 118, 26, 29, 7, , 1
2024/1/14, 33, 33, 15, 17, , 3
2024/1/15, 62, 66, 6, 27, 1, 7
2024/1/16, 139, 88, 4, 31, , 8
2024/1/17, 170, 68, 11, 24, 1, 8
2024/1/18, 156, 52, 7, 26, 1, 7
2024/1/19, 104, 51, 29, 21, 1, 6
2024/1/20, 93, 27, 26, 2, , 1
2024/1/21, 28, 16, 27, 4, , 1
2024/1/22, 29, 15, 26, 7, , 1
2024/1/23, 29, 23, 24, 12, , 1
2024/1/24, 46, 26, 28, 11, , 2
2024/1/25, 56, 35, 28, 9, , 1
2024/1/26, 61, 33, 27, 11, , 2
2024/1/27, 65, 50, 18, 23, 1, 4
2024/1/28, 97, 70, 13, 25, 3, 8
2024/1/29, 141, 82, 13, 19, , 8
2024/1/30, 172, 46, 26, 12, , 4
2024/1/31, 100, 31, 24, 10, 1, 3
2024/2/1, 72, 56, 13, 19, , 5
2024/2/2, 125, 67, 13, 23, , 6
2024/2/3, 152, 78, 14, 24, 1, 8
2024/2/4, 166, 69, 28, 15, 1, 6
2024/2/5, 159, 40, 31, 10, , 3
2024/2/6, 99, 24, 32, 6, , 2
2024/2/7, 65, 23, 31, 6, , 2
2024/2/8, 65, 46, 36, 7, 1, 4
2024/2/9, 113, 30, 31, 4, , 1
2024/2/10, 80, 64, 28, 10, , 3
2024/2/11, 151, 84, 36, 19, 1, 7
2024/2/12, 172, 104, 47, 22, 1, 9
2024/2/13, 184, 44, 29, 13, , 7
2024/2/14, 85, 18, 33, 5, , 1
2024/2/15, 35, 58, 28, 8, 1, 5
2024/2/16, 117, 69, 27, 16, , 6
2024/2/17, 156, 64, 31, 13, , 10
2024/2/18, 133, 31, 30, 3, , 1
2024/2/19, 33, 21, 26, 5, , 1
2024/2/20, 44, 21, 26, 7, , 1
2024/2/21, 46, 13, 29, 4, , 2
2024/2/22, 28, 33, 20, 18, 1, 6
2024/2/23, 75, 54, 29, 17, , 5
2024/2/24, 128, 45, 29, 7, , 1
2024/2/25, 79, 63, 30, 14, 1, 5
2024/2/26, 130, 64, 24, 12, , 4
2024/2/27, 114, 63, 25, 12, , 3
2024/2/28, 119, 25, 32, 3, , 1
2024/2/29, 33, 34, 26, 7, , 2
2024/3/1, 44, 75, 27, 11, , 3
2024/3/2, 98, 49, 30, 12, , 5
2024/3/3, 76, 52, 26, 13, 1, 6
2024/3/4, 96, 64, 24, 12, , 6
2024/3/5, 149, 38, 30, 9, , 4
2024/3/6, 94, 49, 31, 12, , 5
2024/3/7, 105, 17, 31, 7, , 1
2024/3/8, 34, 57, 32, 18, 1, 4
2024/3/9, 106, 90, 22, 26, 1, 7
2024/3/10, 169, 60, 34, 17, , 4
2024/3/11, 114, 46, 40, 10, , 3
2024/3/12, 98, 58, 33, 17, , 3
2024/3/13, 118, 55, 46, 17, 1, 3
2024/3/14, 101, 93, 65, 17, 1, 5
2024/3/15, 165, 92, 37, 10, 1, 7
2024/3/16, 126, 35, 34, 4, , 1
2024/3/17, 30, 99, 33, 13, , 3
2024/3/18, 120, 80, 31, 3, , 1
2024/3/19, 58, 50, 31, 7, , 1
2024/3/20, 54, 75, 25, 23, 1, 5
2024/3/21, 130, 58, 37, 14, , 5
2024/3/22, 109, 77, 44, 22, 2, 7
2024/3/23, 133, 68, 33, 14, 2, 9
2024/3/24, 144, 59, 37, 9, , 5
2024/3/25, 150, 76, 16, 18, , 7
2024/3/26, 167, 98, 5, 23, , 10
2024/3/27, 184, 295, 36, 6, , 3
2024/3/28, 117, 93, 36, 7, , 2
2024/3/29, 89, 42, 38, 9, , 3
2024/3/30, 57, 78, 41, 16, 2, 7
2024/3/31, 124, 70, 40, 11, 2, 6
2023/10/1, 39, 48, 34, 15, , 3
2023/10/2, 81, 52, 58, 11, 1, 4
2023/10/3, 102, 13, 23, 7, , 2
2023/10/4, 32, 18, 23, 9, , 1
2023/10/5, 34, 31, 23, 13, , 3
2023/10/6, 55, 53, 33, 16, 1, 5
2023/10/7, 104, 37, 29, 13, , 4
2023/10/8, 76, 15, 30, 8, , 3
2023/10/9, 30, 21, 36, 10, , 3
2023/10/10, 48, 46, 46, 16, , 4
2023/10/11, 89, 81, 10, 31, , 8
2023/10/12, 160, 40, 29, 13, , 5
2023/10/13, 101, 15, 32, 12, , 3
2023/10/14, 35, 24, 28, 12, 1, 2
2023/10/15, 41, 34, 30, 11, 1, 3
2023/10/16, 55, 56, 35, 16, , 5
2023/10/17, 102, 25, 26, 10, 1, 3
2023/10/18, 53, 17, 24, 7, , 1
2023/10/19, 21, 20, 23, 6, , 1
2023/10/20, 27, 34, 23, 14, , 2
2023/10/21, 67, 47, 21, 19, 1, 4
2023/10/22, 84, 96, 22, 28, 1, 8
2023/10/23, 167, 109, 53, 20, 1, 8
2023/10/24, 189, 88, 38, 22, 1, 7
2023/10/25, 164, 30, 23, 13, , 3
2023/10/26, 37, 60, 20, 21, , 4
2023/10/27, 87, 90, 27, 24, 1, 8
2023/10/28, 149, 124, 35, 17, , 11
2023/10/29, 194, 108, 55, 13, , 10
2023/10/30, 185, 100, 30, 14, , 8
2023/10/31, 161, 127, 44, 15, , 11
2023/11/1, 203, 100, 32, 9, , 7
2023/11/2, 137, 32, 17, 7, , 2
2023/11/3, 24, 58, 15, 17, , 4
2023/11/4, 74, 40, 23, 12, , 3
2023/11/5, 67, 40, 22, 2, , 1
2023/11/6, 38, 36, 14, 13, , 2
2023/11/7, 73, 52, 17, 17, , 4
2023/11/8, 103, 16, 25, 3, , 2
2023/11/9, 24, 16, 20, 5, , 1
2023/11/10, 27, 16, 20, 6, , 1
2023/11/11, 32, 21, 23, 4, , 1
2023/11/12, 29, 45, 17, 15, , 3
2023/11/13, 109, 68, 14, 24, 1, 6
2023/11/14, 149, 71, 7, 26, , 7
2023/11/15, 134, 28, 25, 3, , 1
2023/11/16, 24, 19, 23, 2, 1, 1
2023/11/17, 19, 39, 16, 16, , 2
2023/11/18, 67, 46, 19, 17, , 4
2023/11/19, 75, 77, 13, 26, , 6
2023/11/20, 141, 106, 19, 27, 1, 10
2023/11/21, 185, 88, 25, 19, 1, 6
2023/11/22, 126, 130, 23, 3, , 1
2023/11/23, 20, 27, 17, 9, , 2
